Date,Open,High,Low,Close,Adj Close,Volume
2/23/1988,14.170647,14.321399,14.057583,14.246022,9.05862,1901100
2/24/1988,14.321399,14.321399,14.057583,14.208335,9.034654,1488100
2/25/1988,14.246022,14.585214,13.982207,13.982207,8.890864,2759100
2/26/1988,14.057583,14.132959,13.718392,13.869143,8.81897,875200
2/29/1988,14.095271,14.246022,13.982207,14.246022,9.05862,959800
3/1/1988,14.246022,14.585214,14.132959,14.585214,9.274304,2008200
3/2/1988,14.585214,14.924405,14.547525,14.622902,9.298261,1523000
3/3/1988,14.735965,14.773653,14.509838,14.660589,9.322227,1167700
3/4/1988,14.660589,14.886717,14.095271,14.28371,9.082583,1649000
3/7/1988,14.28371,14.886717,14.170647,14.735965,9.370155,1588600
3/8/1988,14.962092,15.037468,14.849029,14.886717,9.46602,1585700
3/9/1988,14.999781,15.376659,14.886717,15.376659,9.777559,1949200
3/10/1988,15.527411,15.565099,14.170647,14.246022,9.05862,4079500
3/11/1988,14.359086,14.509838,14.132959,14.509838,9.226367,2466600
3/14/1988,14.434463,14.547525,14.28371,14.547525,9.353216,1181000
3/15/1988,14.47215,14.622902,14.170647,14.321399,9.207827,1294100
3/16/1988,14.321399,14.359086,13.982207,14.208335,9.135135,2244700
3/17/1988,14.622902,14.811341,14.47215,14.698277,9.450141,2275500
3/18/1988,14.773653,14.849029,14.434463,14.509838,9.328982,2526600
3/21/1988,14.434463,14.434463,14.095271,14.321399,9.207827,926000
3/22/1988,14.321399,14.585214,14.208335,14.321399,9.207827,1261600
3/23/1988,14.208335,14.28371,13.94452,13.982207,8.98975,1275900
3/24/1988,13.643017,13.75608,13.341514,13.416889,8.626279,2333900
3/25/1988,13.266137,13.529953,13.04001,13.04001,8.383969,1844400
3/28/1988,13.04001,13.492265,13.04001,13.341514,8.577818,1379700
3/29/1988,13.416889,13.793768,13.379201,13.416889,8.626279,1330900
3/30/1988,13.56764,13.643017,13.190762,13.266137,8.529352,1309000
3/31/1988,13.190762,13.379201,13.002322,13.190762,8.480897,791600
4/4/1988,13.266137,13.529953,13.002322,13.416889,8.626279,1224800
4/5/1988,13.492265,13.529953,13.115386,13.266137,8.529352,986300
4/6/1988,13.416889,13.982207,13.190762,13.94452,8.965517,1666600
4/7/1988,14.019896,14.28371,13.869143,13.869143,8.91705,1201300
4/8/1988,13.94452,14.47215,13.906832,14.47215,9.304751,1254300
4/11/1988,14.246022,14.735965,14.246022,14.735965,9.474367,1886800
4/12/1988,14.735965,14.735965,14.509838,14.622902,9.401675,1015200
4/13/1988,14.622902,14.698277,14.170647,14.509838,9.328982,1871600
4/14/1988,14.019896,14.773653,13.982207,14.132959,9.086675,4709700
4/15/1988,14.170647,14.321399,13.718392,14.057583,9.038205,3416200
4/18/1988,13.982207,14.170647,13.75608,14.095271,9.062438,1787000
4/19/1988,14.321399,14.509838,14.170647,14.208335,9.135135,2328600
4/20/1988,14.246022,14.28371,13.869143,14.057583,9.038205,1768100
4/21/1988,13.982207,14.28371,13.605329,13.793768,8.868593,4411200
4/22/1988,13.906832,14.057583,13.680704,14.057583,9.038205,1298100
4/25/1988,14.095271,14.321399,13.906832,14.208335,9.135135,1048000
4/26/1988,14.208335,14.509838,14.132959,14.509838,9.328982,1339200
4/27/1988,14.396774,14.924405,14.359086,14.811341,9.522835,3191600
4/28/1988,14.660589,14.735965,14.47215,14.509838,9.328982,1546900
4/29/1988,14.47215,14.47215,14.208335,14.321399,9.207827,1247700
5/2/1988,14.47215,14.773653,14.321399,14.773653,9.498596,1151800
5/3/1988,14.849029,14.924405,14.660589,14.886717,9.571295,1708400
5/4/1988,14.886717,14.886717,14.585214,14.622902,9.401675,1173100
5/5/1988,14.585214,14.773653,14.359086,14.773653,9.498596,1246400
5/6/1988,14.735965,14.999781,14.47215,14.509838,9.328982,1204600
5/9/1988,14.547525,14.660589,14.359086,14.660589,9.425906,1012200
5/10/1988,14.585214,14.660589,14.246022,14.396774,9.256286,1348800
5/11/1988,14.208335,14.208335,13.94452,13.94452,8.965517,2126600
5/12/1988,13.982207,14.095271,13.605329,13.680704,8.795901,1022100
5/13/1988,14.019896,14.057583,13.906832,14.057583,9.038205,1072900
5/16/1988,14.132959,14.47215,14.057583,14.47215,9.304751,538600
5/17/1988,14.622902,14.660589,14.170647,14.321399,9.207827,1714400
5/18/1988,14.170647,14.246022,13.94452,14.057583,9.038205,1955800
5/19/1988,13.982207,14.019896,13.643017,13.869143,8.91705,1756500
5/20/1988,13.869143,14.019896,13.75608,13.906832,8.94129,888500
5/23/1988,13.906832,13.906832,13.643017,13.793768,8.868593,924000
5/24/1988,13.869143,14.246022,13.793768,14.208335,9.135135,905100
5/25/1988,14.246022,14.246022,13.982207,14.057583,9.038205,1521700
5/26/1988,13.94452,14.057583,13.869143,13.869143,8.91705,926300
5/27/1988,13.831456,13.831456,13.75608,13.793768,8.868593,1079200
5/31/1988,13.831456,14.321399,13.75608,14.28371,9.183597,1273900
6/1/1988,14.396774,14.773653,14.246022,14.547525,9.353216,1996600
6/2/1988,14.47215,14.698277,14.434463,14.509838,9.328982,1266600
6/3/1988,14.622902,14.698277,14.434463,14.622902,9.401675,790000
6/6/1988,14.585214,14.999781,14.585214,14.999781,9.64399,2967100
6/7/1988,14.962092,15.225908,14.886717,15.075156,9.692449,6722300
6/8/1988,15.150532,15.527411,15.037468,15.489723,9.958994,4577000
6/9/1988,15.301284,15.565099,15.263596,15.452035,9.934758,4212200
6/10/1988,15.376659,15.565099,15.376659,15.452035,9.934758,1670900
6/13/1988,15.338971,15.338971,15.225908,15.225908,9.891544,1371100
6/14/1988,15.376659,15.715851,15.376659,15.527411,10.087419,6460200
6/15/1988,15.489723,15.565099,15.376659,15.527411,10.087419,1899800
6/16/1988,15.452035,15.527411,15.376659,15.452035,10.038445,1355800
6/17/1988,15.489723,15.640474,15.414348,15.565099,10.111896,1977000
6/20/1988,15.489723,15.489723,15.338971,15.338971,9.964993,957500
6/21/1988,15.489723,15.979666,15.414348,15.941978,10.356738,2138600
6/22/1988,16.205793,16.318857,16.130417,16.243481,10.55261,3800600
6/23/1988,16.243481,16.281168,16.09273,16.168104,10.503638,1679900
6/24/1988,16.205793,16.243481,15.941978,15.979666,10.38122,1249700
6/27/1988,16.017353,16.055042,15.791226,15.90429,10.332255,1120300
6/28/1988,16.017353,16.281168,15.979666,16.281168,10.577096,1682200
6/29/1988,16.318857,16.469608,16.205793,16.281168,10.577096,1984700
6/30/1988,16.205793,16.318857,15.979666,16.318857,10.601578,2042400
7/1/1988,16.281168,16.431921,16.130417,16.205793,10.528125,1178400
7/5/1988,15.979666,16.168104,15.941978,16.130417,10.479156,1397900
7/6/1988,16.130417,16.130417,15.527411,15.753538,10.234314,1296100
7/7/1988,15.678163,15.828914,15.527411,15.753538,10.234314,1607200
7/8/1988,15.678163,15.828914,15.452035,15.452035,10.038445,1172400
7/11/1988,15.452035,15.640474,15.338971,15.376659,9.98948,964100
7/12/1988,15.602787,15.640474,15.150532,15.376659,9.98948,1277900
7/13/1988,15.452035,15.753538,15.263596,15.753538,10.234314,906100
7/14/1988,15.678163,15.715851,15.112844,15.263596,9.916026,4241700
7/15/1988,15.338971,15.338971,14.962092,14.962092,9.720153,2572000
7/18/1988,15.037468,15.150532,14.886717,14.924405,9.695672,1792900
7/19/1988,14.622902,14.886717,14.622902,14.849029,9.646701,2305700
7/20/1988,14.886717,14.924405,14.660589,14.773653,9.59773,3239000
7/21/1988,14.773653,14.773653,14.208335,14.28371,9.279442,4206200
7/22/1988,14.170647,14.359086,13.869143,14.246022,9.254959,3698400
7/25/1988,14.208335,14.28371,14.095271,14.208335,9.230479,1435700
7/26/1988,14.28371,14.396774,14.246022,14.396774,9.352892,1253300
7/27/1988,14.47215,14.47215,13.605329,13.643017,8.863218,2323300
7/28/1988,13.680704,14.132959,13.643017,13.94452,9.059082,2191300
7/29/1988,14.095271,14.547525,14.057583,14.47215,9.401862,1466200
8/1/1988,14.47215,14.622902,14.359086,14.509838,9.426345,832400
8/2/1988,14.509838,14.660589,14.321399,14.396774,9.352892,785300
8/3/1988,14.434463,14.434463,14.170647,14.246022,9.254959,1130600
8/4/1988,14.28371,14.359086,14.057583,14.095271,9.157021,1477200
8/5/1988,14.095271,14.170647,14.019896,14.095271,9.157021,1348800
8/8/1988,14.057583,14.170647,13.94452,13.94452,9.059082,827800
8/9/1988,13.869143,13.982207,13.56764,13.643017,8.863218,1899100
8/10/1988,13.454576,13.529953,13.115386,13.153074,8.544924,2827800
8/11/1988,12.889258,13.04001,12.851571,13.04001,8.471467,3544500
8/12/1988,12.964634,13.077698,12.700819,12.926947,8.398016,2256300
8/15/1988,12.851571,12.964634,12.51238,12.738507,8.275596,1791000
8/16/1988,12.587755,13.115386,12.587755,12.964634,8.422498,1900100
8/17/1988,12.964634,13.04001,12.851571,12.926947,8.398016,810200
8/18/1988,12.964634,13.04001,12.889258,12.889258,8.373529,979700
8/19/1988,12.964634,13.002322,12.813883,12.889258,8.373529,800600
8/22/1988,12.889258,12.964634,12.700819,12.738507,8.275596,848700
8/23/1988,12.889258,12.889258,12.663132,12.738507,8.275596,1127000
